precinto,votos,persona,partido
Guaynabo 007,,David Bernier,
Cataño 008,,David Bernier,
Bayamón 009,672,David Bernier,
Bayamón 010,,David Bernier,
Bayamón 011,,David Bernier,
Bayamón 012,,David Bernier,
Toa Alta 013,,David Bernier,
Toa Baja 014,,David Bernier,
Dorado 015,7322,David Bernier,
Vega Alta 016,,David Bernier,
Vega Alta 017,1753,David Bernier,
Vega Baja 018,4909,David Bernier,
Vega Baja 019,5390,David Bernier,
Morovis 020,6883,David Bernier,
Manatí 021,,David Bernier,
Manatí 022,,David Bernier,
Ciales 023,,David Bernier,
Florida 024,,David Bernier,
Barceloneta 025,,David Bernier,
Arecibo 026,,David Bernier,
Arecibo 027,,David Bernier,
Hatillo 028,,David Bernier,
Hatillo 029,,David Bernier,
Camuy 030,,David Bernier,
Quebradillas 031,,David Bernier,
Isabela 032,,David Bernier,
San Sebastián 033,,David Bernier,
Las Marías 034,,David Bernier,
Aguadilla 035,,David Bernier,
Moca 036,,David Bernier,
Moca 037,,David Bernier,
Aguada 038,,David Bernier,
Rincón 039,3315,David Bernier,
Añasco 040,,David Bernier,
Mayagüez 041,659,David Bernier,
Mayagüez 042,13404,David Bernier,
San Germán 043,,David Bernier,
San Germán 044,4694,David Bernier,
Hormigueros 045,3748,David Bernier,
Cabo Rojo 046,8226,David Bernier,
Lajas 047,4713,David Bernier,
Guánica 048,,David Bernier,
Sabana Grande 049,6131,David Bernier,
Maricao 050,,David Bernier,
Yauco 051,,David Bernier,
Yauco 052,,David Bernier,
Lares 053,,David Bernier,
Utuado 054,,David Bernier,
Adjuntas 055,,David Bernier,
Jayuya 056,,David Bernier,
Jayuya 057,2163,David Bernier,
Guayanilla 058,4608,David Bernier,
Peñuelas 059,,David Bernier,
Ponce 060,,David Bernier,
Ponce 061,,David Bernier,
Ponce 062,,David Bernier,
Juana Díaz 063,,David Bernier,
Juana Díaz 064,,David Bernier,
Villalba 065,,David Bernier,
Orocovis 066,,David Bernier,
Santa Isabel 067,,David Bernier,
Coamo 068,,David Bernier,
Aibonito 069,5677,David Bernier,
Barranquitas 070,,David Bernier,
Barranquitas 071,,David Bernier,
Corozal 072,,David Bernier,
Naranjito 073,7375,David Bernier,
Comerío 074,4632,David Bernier,
Coamo 075,4593,David Bernier,
Cidra 076,,David Bernier,
Cayey 077,9736,David Bernier,
Salinas 078,5235,David Bernier,
Guayama 079,8017,David Bernier,
Arroyo 080,4247,David Bernier,
Aguas Buenas 081,,David Bernier,
Caguas 082,8496,David Bernier,
Caguas 083,15089,David Bernier,
Gurabo 084,,David Bernier,
Salinas 085,656,David Bernier,
San Lorenzo 086,,David Bernier,
San Lorenzo 087,,David Bernier,
Juncos 088,,David Bernier,
Las Piedras 089,,David Bernier,
Las Piedras 090,1385,David Bernier,
Patillas 091,4926,David Bernier,
Maunabo 092,2903,David Bernier,
Yabucoa 093,,David Bernier,
Humacao 094,10467,David Bernier,
Naguabo 095,,David Bernier,
Vieques 096,1859,David Bernier,
Culebra 097,478,David Bernier,
Ceiba 098,,David Bernier,
Fajardo 099,,David Bernier,
Luquillo 100,,David Bernier,
Río Grande 101,,David Bernier,
Río Grande 102,,David Bernier,
Loíza 103,,David Bernier,
Canóvanas 104,,David Bernier,
Canóvanas 105,,David Bernier,
Carolina 106,,David Bernier,
Carolina 107,8631,David Bernier,
Carolina 108,12743,David Bernier,
Trujillo Alto 109,5367,David Bernier,
Trujillo Alto 110,5939,David Bernier,
San Juan 001,11214,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Juan 002,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Juan 003,12199,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Juan 004,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Juan 005,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Guaynabo 006,5522,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Guaynabo 007,7806,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Cataño 008,4212,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Bayamón 009,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Bayamón 010,13071,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Bayamón 011,12337,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Bayamón 012,3006,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Toa Alta 013,10778,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Toa Baja 014,12500,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Dorado 015,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Vega Alta 016,4584,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Vega Alta 017,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Vega Baja 018,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Vega Baja 019,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Morovis 020,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Manatí 021,2515,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Manatí 022,3303,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Ciales 023,4464,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Florida 024,2264,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Barceloneta 025,4870,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Arecibo 026,1800,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Arecibo 027,10737,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Hatillo 028,1719,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Hatillo 029,5374,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Camuy 030,5816,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Quebradillas 031,5083,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Isabela 032,8112,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Sebastián 033,7912,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Las Marías 034,2620,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Aguadilla 035,7871,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Moca 036,5930,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Moca 037,771,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Aguada 038,7459,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Rincón 039,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Añasco 040,5690,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Mayagüez 041,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Mayagüez 042,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Germán 043,1523,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Germán 044,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Hormigueros 045,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Cabo Rojo 046,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Lajas 047,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Guánica 048,3847,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Sabana Grande 049,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Maricao 050,1387,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Yauco 051,2609,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Yauco 052,4678,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Lares 053,6319,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Utuado 054,6431,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Adjuntas 055,3907,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Jayuya 056,1720,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Jayuya 057,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Guayanilla 058,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Peñuelas 059,4370,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Ponce 060,2477,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Ponce 061,13150,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Ponce 062,7282,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Juana Díaz 063,5268,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Juana Díaz 064,2897,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Villalba 065,6444,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Orocovis 066,5166,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Santa Isabel 067,4094,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Coamo 068,3312,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Aibonito 069,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Barranquitas 070,4896,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Barranquitas 071,843,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Corozal 072,7693,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Naranjito 073,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Comerío 074,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Coamo 075,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Cidra 076,6972,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Cayey 077,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Salinas 078,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Guayama 079,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Arroyo 080,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Aguas Buenas 081,4403,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Caguas 082,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Caguas 083,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Gurabo 084,6532,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Salinas 085,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Lorenzo 086,3637,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Lorenzo 087,4012,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Juncos 088,6571,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Las Piedras 089,4493,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Las Piedras 090,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Patillas 091,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Maunabo 092,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Yabucoa 093,7999,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Humacao 094,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Naguabo 095,3952,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Vieques 096,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Culebra 097,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Ceiba 098,1941,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Fajardo 099,4096,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Luquillo 100,3448,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Río Grande 101,1398,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Río Grande 102,5871,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Loíza 103,3797,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Canóvanas 104,3201,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Canóvanas 105,3350,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Carolina 106,5805,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Carolina 107,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Carolina 108,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Trujillo Alto 109,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
Trujillo Alto 110,,David Bernier,PARTIDO POPULAR DEMOCRÁTICO
San Juan 001,1965,Manuel Cidre,INDEPENDIENTE
San Juan 002,1860,Manuel Cidre,INDEPENDIENTE
San Juan 003,2037,Manuel Cidre,INDEPENDIENTE
San Juan 004,3722,Manuel Cidre,INDEPENDIENTE
San Juan 005,838,Manuel Cidre,INDEPENDIENTE
Guaynabo 006,1504,Manuel Cidre,INDEPENDIENTE
Guaynabo 007,2537,Manuel Cidre,INDEPENDIENTE
Cataño 008,690,Manuel Cidre,INDEPENDIENTE
Bayamón 009,117,Manuel Cidre,INDEPENDIENTE
Bayamón 010,2457,Manuel Cidre,INDEPENDIENTE
Bayamón 011,2455,Manuel Cidre,INDEPENDIENTE
Bayamón 012,409,Manuel Cidre,INDEPENDIENTE
Toa Alta 013,2083,Manuel Cidre,INDEPENDIENTE
Toa Baja 014,2444,Manuel Cidre,INDEPENDIENTE
Dorado 015,1296,Manuel Cidre,INDEPENDIENTE
Vega Alta 016,696,Manuel Cidre,INDEPENDIENTE
Vega Alta 017,188,Manuel Cidre,INDEPENDIENTE
Vega Baja 018,695,Manuel Cidre,INDEPENDIENTE
Vega Baja 019,1011,Manuel Cidre,INDEPENDIENTE
Morovis 020,569,Manuel Cidre,INDEPENDIENTE
Manatí 021,727,Manuel Cidre,INDEPENDIENTE
Manatí 022,613,Manuel Cidre,INDEPENDIENTE
Ciales 023,389,Manuel Cidre,INDEPENDIENTE
Florida 024,382,Manuel Cidre,INDEPENDIENTE
Barceloneta 025,800,Manuel Cidre,INDEPENDIENTE
Arecibo 026,478,Manuel Cidre,INDEPENDIENTE
Arecibo 027,2811,Manuel Cidre,INDEPENDIENTE
Hatillo 028,331,Manuel Cidre,INDEPENDIENTE
Hatillo 029,994,Manuel Cidre,INDEPENDIENTE
Camuy 030,949,Manuel Cidre,INDEPENDIENTE
Quebradillas 031,668,Manuel Cidre,INDEPENDIENTE
Isabela 032,956,Manuel Cidre,INDEPENDIENTE
San Sebastián 033,981,Manuel Cidre,INDEPENDIENTE
Las Marías 034,157,Manuel Cidre,INDEPENDIENTE
Aguadilla 035,1192,Manuel Cidre,INDEPENDIENTE
Moca 036,636,Manuel Cidre,INDEPENDIENTE
Moca 037,125,Manuel Cidre,INDEPENDIENTE
Aguada 038,1100,Manuel Cidre,INDEPENDIENTE
Rincón 039,341,Manuel Cidre,INDEPENDIENTE
Añasco 040,537,Manuel Cidre,INDEPENDIENTE
Mayagüez 041,49,Manuel Cidre,INDEPENDIENTE
Mayagüez 042,1616,Manuel Cidre,INDEPENDIENTE
San Germán 043,185,Manuel Cidre,INDEPENDIENTE
San Germán 044,621,Manuel Cidre,INDEPENDIENTE
Hormigueros 045,417,Manuel Cidre,INDEPENDIENTE
Cabo Rojo 046,1151,Manuel Cidre,INDEPENDIENTE
Lajas 047,468,Manuel Cidre,INDEPENDIENTE
Guánica 048,281,Manuel Cidre,INDEPENDIENTE
Sabana Grande 049,447,Manuel Cidre,INDEPENDIENTE
Maricao 050,106,Manuel Cidre,INDEPENDIENTE
Yauco 051,321,Manuel Cidre,INDEPENDIENTE
Yauco 052,601,Manuel Cidre,INDEPENDIENTE
Lares 053,634,Manuel Cidre,INDEPENDIENTE
Utuado 054,635,Manuel Cidre,INDEPENDIENTE
Adjuntas 055,400,Manuel Cidre,INDEPENDIENTE
Jayuya 056,79,Manuel Cidre,INDEPENDIENTE
Jayuya 057,122,Manuel Cidre,INDEPENDIENTE
Guayanilla 058,406,Manuel Cidre,INDEPENDIENTE
Peñuelas 059,464,Manuel Cidre,INDEPENDIENTE
Ponce 060,484,Manuel Cidre,INDEPENDIENTE
Ponce 061,2228,Manuel Cidre,INDEPENDIENTE
Ponce 062,1376,Manuel Cidre,INDEPENDIENTE
Juana Díaz 063,636,Manuel Cidre,INDEPENDIENTE
Juana Díaz 064,306,Manuel Cidre,INDEPENDIENTE
Villalba 065,354,Manuel Cidre,INDEPENDIENTE
Orocovis 066,339,Manuel Cidre,INDEPENDIENTE
Santa Isabel 067,445,Manuel Cidre,INDEPENDIENTE
Coamo 068,233,Manuel Cidre,INDEPENDIENTE
Aibonito 069,692,Manuel Cidre,INDEPENDIENTE
Barranquitas 070,305,Manuel Cidre,INDEPENDIENTE
Barranquitas 071,133,Manuel Cidre,INDEPENDIENTE
Corozal 072,742,Manuel Cidre,INDEPENDIENTE
Naranjito 073,515,Manuel Cidre,INDEPENDIENTE
Comerío 074,279,Manuel Cidre,INDEPENDIENTE
Coamo 075,342,Manuel Cidre,INDEPENDIENTE
Cidra 076,1195,Manuel Cidre,INDEPENDIENTE
Cayey 077,1148,Manuel Cidre,INDEPENDIENTE
Salinas 078,433,Manuel Cidre,INDEPENDIENTE
Guayama 079,769,Manuel Cidre,INDEPENDIENTE
Arroyo 080,214,Manuel Cidre,INDEPENDIENTE
Aguas Buenas 081,722,Manuel Cidre,INDEPENDIENTE
Caguas 082,1585,Manuel Cidre,INDEPENDIENTE
Caguas 083,2553,Manuel Cidre,INDEPENDIENTE
Gurabo 084,1252,Manuel Cidre,INDEPENDIENTE
Salinas 085,55,Manuel Cidre,INDEPENDIENTE
San Lorenzo 086,515,Manuel Cidre,INDEPENDIENTE
San Lorenzo 087,465,Manuel Cidre,INDEPENDIENTE
Juncos 088,860,Manuel Cidre,INDEPENDIENTE
Las Piedras 089,812,Manuel Cidre,INDEPENDIENTE
Las Piedras 090,168,Manuel Cidre,INDEPENDIENTE
Patillas 091,228,Manuel Cidre,INDEPENDIENTE
Maunabo 092,155,Manuel Cidre,INDEPENDIENTE
Yabucoa 093,640,Manuel Cidre,INDEPENDIENTE
Humacao 094,1417,Manuel Cidre,INDEPENDIENTE
Naguabo 095,554,Manuel Cidre,INDEPENDIENTE
Vieques 096,208,Manuel Cidre,INDEPENDIENTE
Culebra 097,71,Manuel Cidre,INDEPENDIENTE
Ceiba 098,321,Manuel Cidre,INDEPENDIENTE
Fajardo 099,814,Manuel Cidre,INDEPENDIENTE
Luquillo 100,493,Manuel Cidre,INDEPENDIENTE
Río Grande 101,220,Manuel Cidre,INDEPENDIENTE
Río Grande 102,994,Manuel Cidre,INDEPENDIENTE
Loíza 103,482,Manuel Cidre,INDEPENDIENTE
Canóvanas 104,686,Manuel Cidre,INDEPENDIENTE
Canóvanas 105,474,Manuel Cidre,INDEPENDIENTE
Carolina 106,970,Manuel Cidre,INDEPENDIENTE
Carolina 107,1313,Manuel Cidre,INDEPENDIENTE
Carolina 108,2332,Manuel Cidre,INDEPENDIENTE
Trujillo Alto 109,1043,Manuel Cidre,INDEPENDIENTE
Trujillo Alto 110,1181,Manuel Cidre,INDEPENDIENTE
San Juan 001,1175,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Juan 002,1353,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Juan 003,1063,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Juan 004,1407,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
San Juan 005,319,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Guaynabo 006,322,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Guaynabo 007,632,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Cataño 008,226,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Bayamón 009,33,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Bayamón 010,843,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Bayamón 011,849,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Bayamón 012,115,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Toa Alta 013,587,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Toa Baja 014,759,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
Dorado 015,363,María De Lourdes Santiago,PARTIDO INDEPENDENTISTA PUERTORRIQUEÑO
